15
0.1065064
0.1547344
0.1132416
0.0144221
0.1267270
0.1425127
0.0204041
0.0994821
0.0401707
0.0274624
0.1201590
0.0341775
0	68	52	66	74	19	76	81	69	12	123	14	20	109	435
68	0	65	61	58	6	82	100	79	63	124	15	21	110	436
52	65	0	40	19	73	39	4	54	95	125	16	22	111	437
66	61	40	0	97	36	63	55	90	36	126	17	23	112	438
74	58	19	97	0	67	59	10	91	42	127	18	24	113	439
19	6	73	36	67	0	54	81	64	99	128	19	25	114	440
76	82	39	63	59	54	0	100	15	96	129	20	26	115	441
81	100	4	55	10	81	100	0	23	69	130	21	27	116	442
69	79	54	90	91	64	15	23	0	100	131	22	28	117	443
12	63	95	36	42	99	96	69	100	0	132	23	29	118	444
123	124	125	126	127	128	129	130	131	132	0	24	30	119	445
14	15	16	17	18	19	20	21	22	23	24	0	31	120	446
20	21	22	23	24	25	26	27	28	29	30	31	0	121	447
109	110	111	112	113	114	115	116	117	118	119	120	121	0	448
435	436	437	438	439	440	441	442	443	444	445	446	447	448	0
